,path,deposit_id,name,latitude,longitude,deposit_type,url
46,mrdata_json/sedexmvt/76.json,76,['Fagundes'],-16.87,-46.52,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=76
47,mrdata_json/sedexmvt/226.json,226,['Tynagh'],53.16,-8.34,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=226
48,mrdata_json/sedexmvt/218.json,218,['Tom'],63.17,-130.14,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=218
49,mrdata_json/sedexmvt/142.json,142,['Mehdiabad'],31.73,54.99,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=142
50,mrdata_json/sedexmvt/165.json,165,['Pend Oreille-Yellowhead'],48.9,-117.3,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=165
51,mrdata_json/sedexmvt/130.json,130,['Lady Loretta'],-19.77,139.07,"['CR', 'cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=130
52,mrdata_json/sedexmvt/1.json,1,['Abbeytown'],54.22,-8.53,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=1
53,mrdata_json/sedexmvt/63.json,63,['Dongshengmiao'],41.65,106.72,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=63
54,mrdata_json/sedexmvt/231.json,231,['Vangorda'],62.25,-133.18,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=231
55,mrdata_json/sedexmvt/82.json,82,['Fossil Downs'],-18.19,125.77,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=82
56,mrdata_json/sedexmvt/42.json,42,['Cadieux'],45.41,-76.71,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=42
57,mrdata_json/sedexmvt/144.json,144,['Mezica'],46.3,14.52,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=144
58,mrdata_json/sedexmvt/40.json,40,['Bulman'],-13.42,134.41,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=40
59,mrdata_json/sedexmvt/35.json,35,['Bou Jabeur'],35.78,8.28,"['salt dome', 'MVT']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=35
60,mrdata_json/sedexmvt/181.json,181,['Rangpo'],27.17,88.53,"['unclassified', 'cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=181
61,mrdata_json/sedexmvt/229.json,229,['Urultun'],63.48,148.42,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=229
62,mrdata_json/sedexmvt/215.json,215,['Tianbaoshan'],26.95,102.2,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=215
63,mrdata_json/sedexmvt/204.json,204,['Sindesar Kalan East'],25.0,74.17,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=204
64,mrdata_json/sedexmvt/113.json,113,['Januaria'],-15.05,-44.75,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=113
65,mrdata_json/sedexmvt/39.json,39,['Buick'],37.58,-91.13,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=39
66,mrdata_json/sedexmvt/143.json,143,['Mel'],60.35,-127.4,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=143
67,mrdata_json/sedexmvt/110.json,110,['Indian Creek'],38.08,-90.88,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=110
68,mrdata_json/sedexmvt/31.json,31,['Blende'],64.4,-134.67,"['UN', 'MVT']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=31
69,mrdata_json/sedexmvt/106.json,106,['Huogeqi'],41.28,106.68,"['cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=106
70,mrdata_json/sedexmvt/72.json,72,['El Abed'],34.32,-1.44,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=72
71,mrdata_json/sedexmvt/3.json,3,['Admiral Bay'],-19.23,122.28,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=3
72,mrdata_json/sedexmvt/81.json,81,['Florida Canyon'],-5.92,-78.06,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=81
73,mrdata_json/sedexmvt/118.json,118,['Kamarga'],-18.57,138.84,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=118
74,mrdata_json/sedexmvt/192.json,192,['Saladipura'],27.65,75.53,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=192
75,mrdata_json/sedexmvt/102.json,102,['Hilton-George Fisher'],-20.57,139.47,"['CR', 'cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=102
76,mrdata_json/sedexmvt/83.json,83,['Friedensville'],40.56,-75.38,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=83
77,mrdata_json/sedexmvt/153.json,153,['Nanisivik'],73.06,-84.51,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=153
78,mrdata_json/sedexmvt/203.json,203,['Silvermines'],52.79,-8.27,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=203
79,mrdata_json/sedexmvt/55.json,55,['Courtbrown'],52.64,-8.98,"['MVT', 'Irish']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=55
80,mrdata_json/sedexmvt/177.json,177,['Raibl'],46.44,13.6,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=177
81,mrdata_json/sedexmvt/147.json,147,['Mokanpura North'],25.0,74.13,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=147
82,mrdata_json/sedexmvt/16.json,16,['Balmat'],44.25,-75.4,"['unclassified', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=16
83,mrdata_json/sedexmvt/69.json,69,['Eclipse'],75.57,-96.2,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=69
84,mrdata_json/sedexmvt/112.json,112,['Jabal Dhaylan'],25.5,37.25,"['salt dome', 'MVT']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=112
85,mrdata_json/sedexmvt/240.json,240,['Zawarmala'],24.33,73.68,"['carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=240
86,mrdata_json/sedexmvt/129.json,129,['Kushk'],31.75,55.75,"['sh-hst', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=129
87,mrdata_json/sedexmvt/150.json,150,['Mount Isa'],-20.73,139.48,"['CR', 'cc-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=150
88,mrdata_json/sedexmvt/166.json,166,['Perau'],-24.85,-49.0,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=166
89,mrdata_json/sedexmvt/51.json,51,['Citronen Fjord'],83.08,-28.25,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=51
90,mrdata_json/sedexmvt/169.json,169,['Pierrepont'],44.5,-75.02,"['unclassified', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=169
91,mrdata_json/sedexmvt/49.json,49,['Changba-Lijiagou'],34.0,105.5,"['sh-hst', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=49
92,mrdata_json/sedexmvt/104.json,104,['Howards Pass'],62.45,-129.18,"['sh-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=104
93,mrdata_json/sedexmvt/23.json,23,['Bethumni'],25.07,74.18,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=23
94,mrdata_json/sedexmvt/178.json,178,['Rajpura-Dariba'],24.98,74.13,"['CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=178
95,mrdata_json/sedexmvt/70.json,70,['Ediacara'],-30.8,138.13,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=70
96,mrdata_json/sedexmvt/230.json,230,['Van Stone'],48.76,-117.76,['MVT'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=230
97,mrdata_json/sedexmvt/52.json,52,['Clear Lake'],62.78,-135.14,['CD'],https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=52
98,mrdata_json/sedexmvt/53.json,53,['Colby'],50.73,-118.73,"['unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=53
99,mrdata_json/sedexmvt/164.json,164,['Pegmont'],-21.84,140.68,"['BHT', 'unclassified', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=164
100,mrdata_json/sedexmvt/213.json,213,['Tanyaokou'],40.93,106.73,"['sh-hst', 'carb-hst', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=213
101,mrdata_json/sedexmvt/85.json,85,['Gamsberg'],-29.25,18.97,"['BHT', 'CD', 'sedex']",https://mrdata.usgs.gov/to-json.php?db=sedexmvt&id=rec_id&labno=85
