,deposit_id,deposit_name,latitude,longitude,deposit_model,url
176,137,Dalangtan,38.5597,91.3939,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=137
177,79,Clover Hill,45.56,-65.5708,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=79
178,207,Colluli,14.392,40.345,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=207
179,106,Colonsay,51.9331,-105.7664,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=106
180,249,Conow,53.223,11.331,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=249
181,395,Corvillo,37.631,14.133,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=395
182,107,Cory,52.093,-106.8534,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=107
183,396,Cozzo Campana,37.517,14.096,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=396
184,211,Crescent,14.2417,40.2972,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=211
185,566,Cucueti Vest,46.3162,26.5528,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=566
186,567,Cucueti-Culmea Berzunti,46.4087,26.6501,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=567
187,568,Cut,46.8836,26.4164,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=568
188,141,Dabiele,37.0192,94.557,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=141
189,142,Dabusun,36.9166,95.25,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=142
190,208,Dallol,14.35,40.2333,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=208
191,209,Danikil,14.33,40.26,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=209
192,992,Darasinsky,52.9,27.78,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=992
193,923,Darbaza,39.2179,64.8379,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=923
194,590,Datyi,42.94,45.291,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=590
195,153,Dawenkou,35.948,117.096,evaporite,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=153
196,217,Dax,43.7083,-1.0494,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=217
197,108,Day Star,51.517,-104.223,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=108
198,893,Dead Man Point,38.6017,-109.9661,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=893
199,787,Delyatin,48.516,24.6776,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=787
200,591,Demidov,49.2333,45.3667,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=591
201,924,Dengizkul,39.095,64.118,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=924
202,250,Desdemona,52.012,9.792,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=250
203,547,Dhariala,32.65,73.219,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=547
204,251,Dietlas,50.817,10.083,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=251
205,854,Dixie Marsh,39.8333,-117.9642,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=854
206,788,Dobrohostiv,49.2387,23.6266,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=788
207,592,Dolina,51.1465,47.4179,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=592
208,789,Dolina,48.9854,23.977,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=789
209,791,Dombrov,49.1887,24.4508,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=791
210,143,Dongling,37.283,94.8287,potash-bearing brine,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=143
211,755,Donguzsyrt,37.4667,65.4094,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=755
212,433,Dossor,47.5272,52.9811,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=433
213,527,Doukkala,32.5993,-8.8536,mixed stratabound potash-bearing salt and halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=527
214,434,Dragomirov,50.5667,57.1,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=434
215,894,Dripping Spring,38.7542,-109.9414,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=894
216,593,Dubov,49.0556,44.8287,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=593
217,698,Duryman,59.3033,56.9369,stratabound potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=698
218,369,Duz Kand,36.5042,47.8958,halokinetic potash-bearing salt,https://mrdata.usgs.gov/to-json.php?db=potash&id=rec_no&labno=369
