,Deposit type,USGS_Model,,,,,,,,,,,,,,,,,,,
144,Skarn iron,18d,,,,,,,,,,,,,,,,,,,
145,Skarn copper,18b,,,,,,,,,,,,,,,,,,,
146,Skarn tungsten ± Mo,14a,,,,,,,,,,,,,,,,,,,
147,Skarn tin ± copper ± Mo,14b,,,,,,,,,,,,,,,,,,,
148,Skarn gold ± copper ± tungsten,18f,,,,,,,,,,,,,,,,,,,
149,Skarn zinc-lead-silver,18c,,,,,,,,,,,,,,,,,,,
150,Skarn molybdenum,,,,,,,,,,,,,,,,,,,,
151,Skarn beryllium-fluorite,18h,,,,,,,,,,,,,,,,,,,
152,Skarn uranium-REE,,,,,,,,,,,,,,,,,,,,
153,Porphyry copper ± gold,17,,,,,,,,,,,,,,,,,,,
154,Porphyry copper-molybdenum,21a,,,,,,,,,,,,,,,,,,,
155,Porphyry gold ± copper,20c,,,,,,,,,,,,,,,,,,,
156,Climax-type porphyry molybdenum,16,,,,,,,,,,,,,,,,,,,
157,Low-fluorine porphyry molybdenum,21b,,,,,,,,,,,,,,,,,,,
158,Porphyry tungsten,21c,,,,,,,,,,,,,,,,,,,
159,Porphyry tin,20a,,,,,,,,,,,,,,,,,,,
160,Greisen tin ± W-Mo,15c,,,,,,,,,,,,,,,,,,,
161,Greisen tungsten-molybdenum ± Bi,,,,,,,,,,,,,,,,,,,,
162,Greisen beryllium ± Li,,,,,,,,,,,,,,,,,,,,
163,Reduced intrusion-related gold,,,,,,,,,,,,,,,,,,,,
164,Oxidized intrusion-related gold,,,,,,,,,,,,,,,,,,,,
165,Simple pegmatite,13a,,,,,,,,,,,,,,,,,,,
166,LCT pegmatite,13b,,,,,,,,,,,,,,,,,,,
167,NYF pegmatite,13c,,,,,,,,,,,,,,,,,,,
168,Abyssal pegmatite REE,,,,,,,,,,,,,,,,,,,,
169,Carbonatite REE,10,,,,,,,,,,,,,,,,,,,
170,Carbonatite niobium,,,,,,,,,,,,,,,,,,,,
171,Peralkaline igneous HFSE-REE,11,,,,,,,,,,,,,,,,,,,
172,Apatite-nepheline-titanite intrusion,,,,,,,,,,,,,,,,,,,,
173,Apatite intrusion REE,,,,,,,,,,,,,,,,,,,,
174,Kimberlite diamond,12,,,,,,,,,,,,,,,,,,,
175,Komatiite nickel-copper-PGE,6a,,,,,,,,,,,,,,,,,,,
176,U-M layered intrusion chromium,2a,,,,,,,,,,,,,,,,,,,
177,U-M layered intrusion nickel-copper-PGE,5a,,,,,,,,,,,,,,,,,,,
178,U-M layered intrusion PGE,1,,,,,,,,,,,,,,,,,,,
179,U-M layered intrusion iron-titanium-vanadium,3,,,,,,,,,,,,,,,,,,,
180,U-M intrusion nickel-copper-PGE,3,,,,,,,,,,,,,,,,,,,
181,U-M conduit nickel-copper-PGE,5b,,,,,,,,,,,,,,,,,,,
182,Ophiolite chromium,8a/8b,,,,,,,,,,,,,,,,,,,
183,Ophiolite nickel-copper-PGE,,,,,,,,,,,,,,,,,,,,
184,Arc U-M intrusion titanium-vanadium,,,,,,,,,,,,,,,,,,,,
185,Arc U-M intrusion nickel-copper-PGE,9,,,,,,,,,,,,,,,,,,,
186,Anorthosite massif titanium,7b,,,,,,,,,,,,,,,,,,,
187,Anorthosite conduit nickel-copper-PGE,,,,,,,,,,,,,,,,,,,,
188,Impact U-M intrusion nickel-copper-PGE,,,,,,,,,,,,,,,,,,,,
